123,the big lebowski,"Jeff Bridges plays Jeff Lebowski who insists on being called ""the Dude,"" a laid-back, easygoing burnout who happens to have the same name as a millionaire whose wife owes a lot of dangerous people a whole bunch of money -- resulting in the Dude having his rug soiled, sending him spiraling into the Los Angeles underworld.",Indie film,https://imgflip.com/gif/mjn91,,,
124,the naked gun,"Frank Drebin (Leslie Nielsen), a rather clueless police detective, tries to foil a plot to turn innocent people into assassins through mind control. After his partner, Norberg (O.J. Simpson), is shot, Frank sets out to find the culprit, leading him to business tycoon Vincent Ludwig (Ricardo Montalban). However, Frank has no evidence until he meets Jane Spencer (Priscilla Presley), Ludwig's assistant. She knows nothing about Ludwig's devious plans, but falls for Frank and agrees to help him.",Action,https://imgflip.com/gif/mjnp7,,,
,TED,,Comedy,https://imgflip.com/gif/mjq5b,,,
,American Horror Story,,Horror/Thriller,https://imgflip.com/gif/mjqec,,4.5,45
,Back to the Future,,Sci-Fi,https://imgflip.com/gif/mjqm5,,,
,Heroes,,Sci-Fi,https://imgflip.com/gif/mjsex,,4,65
,Addams Family,,Comedy/Fantasy,https://imgflip.com/gif/mjszz,,4,26
,Buffy the Vampire Slayer,,Fantasy/Action/Drama,https://imgflip.com/gif/mjtcv,,4,45
